Posting Date ,Document No ,Order No ,Item No ,Operation No ,Operation Description ,Order Line No,Type,Machine No,Current C/T,Output Quantity,Rejection Qty,Rejection Reson,Re Work Qty ,Re Work Reason,Work Shift Code,Start Time,End Time,Plan time,Actual Run Time,Loss Time,Remarks,Operator Name,Loss time should be,OEE,Reason Code,Reason Time hm ,Loss Time Remark
06-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,130,IR BORE(R),10000,Machine Centre,B-1,10,2,0,,0,,A,06:00:00,14:30:00,08:00:00,03:00:00,05:00:00,,GD-RAJESH LODHA-12503,7.994444444,0.069444444,,,
06-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,130,IR BORE(R),10000,Machine Centre,B-1,10,0,0,,0,,A,,,,,,,GD-RAJESH LODHA-12503,,,No Operator,05:00:00,
06-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,150,IR BORE(F),10000,Machine Centre,B-1,10,0,0,,0,,C,23:00:00,06:00:00,06:30:00,,06:30:00,,NO-OPERATOR,0,0,,,
06-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,150,IR BORE(F),10000,Machine Centre,B-1,10,0,0,,0,,C,,,,,,,NO-OPERATOR,,,NO PLAN,06:30:00,
15-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,120,IR OD(F),10000,Machine Centre,CL-1,10,38,0,,0,,B,19:30:00,21:15:00,01:45:00,00:-5:00,01:50:00,,GD-DILAWAR ALI-12307,1.644444444,6.031746032,,,
15-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,120,IR OD(F),10000,Machine Centre,CL-1,10,0,0,,0,,B,,,,,,,GD-DILAWAR ALI-12307,,,Power Cut,00:10:00,
15-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,120,IR OD(F),10000,Machine Centre,CL-1,10,0,0,,0,,B,,,,,,,GD-DILAWAR ALI-12307,,,Setting,01:40:00,NEW SETTING
06-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,110,IR FACE(F),10000,Machine Centre,SF-2,10,14,0,,0,,A,12:15:00,13:00:00,00:45:00,00:45:00,,,GD-RANJEET -12447,0.711111111,5.185185185,,,
07-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,110,IR FACE(F),10000,Machine Centre,SF-2,10,124,0,,0,,A,06:00:00,14:30:00,08:00:00,06:00:00,02:00:00,,GD-MANOJ KUMAR (SF)-11922,7.655555556,4.305555556,,,
07-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,110,IR FACE(F),10000,Machine Centre,SF-2,10,0,0,,0,,A,,,,,,,GD-MANOJ KUMAR (SF)-11922,,,Under Maintenance,02:00:00,COOLENT PROBLEM
23-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,110,IR FACE(F),10000,Machine Centre,SF-2,10,0,0,,10,,A,06:15:00,07:00:00,00:45:00,00:45:00,,,GD-KAVINDER -10941,0,0,,,
06-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,110,IR FACE(F),10000,Machine Centre,SF-2,10,28,0,,0,,B,15:30:00,17:00:00,01:30:00,01:30:00,,,GD-RANJEET -12447,1.422222222,5.185185185,,,
06-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,110,IR FACE(F),10000,Machine Centre,SF-2,10,0,0,,0,,B,,,,,,,GD-RANJEET -12447,,,Under Maintenance,02:30:00,MAGNET PROBLEM
07-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,110,IR FACE(F),10000,Machine Centre,SF-2,10,14,0,,0,,B,15:15:00,15:50:00,00:35:00,00:35:00,,,GD-RANJEET -12447,0.544444444,6.666666667,,,
24-01-2025,RELP0001313,RELP0001313,SFGD4R3040IRM,110,IR FACE(F),10000,Machine Centre,SF-2,10,0,0,,15,,C,05:00:00,06:00:00,01:00:00,01:00:00,,,GD-MANOJ KUMAR (SF)-11922,0,0,,,
01-01-2025,RELP0001837,RELP0001837,SFGD24048IRM,110,IR FACE(F),10000,Machine Centre,SF-2,10,0,0,,18,,A,11:00:00,12:30:00,01:30:00,01:30:00,,,GD-MANOJ KUMAR (SF)-11922,0,0,,,
22-01-2025,RELP0001844,RELP0001844,SFGD24036ORM,70,OR OD(F),10000,Machine Centre,CL-1,10,90,0,,0,,A,07:30:00,13:55:00,05:55:00,04:25:00,01:30:00,,GD-SURESH -12078,5.666666667,4.225352113,,,
22-01-2025,RELP0001844,RELP0001844,SFGD24036ORM,70,OR OD(F),10000,Machine Centre,CL-1,10,0,0,,0,,A,,,,,,,GD-SURESH -12078,,,Setting,01:00:00,
22-01-2025,RELP0001844,RELP0001844,SFGD24036ORM,70,OR OD(F),10000,Machine Centre,CL-1,10,0,0,,0,,A,,,,,,,GD-SURESH -12078,,,Tool/bit Change,00:30:00,WHEEL CHANGE
27-01-2025,RELP0001844,RELP0001844,SFGD24036ORM,70,OR OD(F),10000,Machine Centre,CL-1,10,120,0,,0,,A,08:15:00,01:35:00,16:50:00,14:10:00,02:40:00,,GD-CHHOTE LAL-11610,16.5,1.98019802,,,
27-01-2025,RELP0001844,RELP0001844,SFGD24036ORM,70,OR OD(F),10000,Machine Centre,CL-1,10,0,0,,0,,A,,,,,,,GD-CHHOTE LAL-11610,,,Power Cut,00:40:00,
27-01-2025,RELP0001844,RELP0001844,SFGD24036ORM,70,OR OD(F),10000,Machine Centre,CL-1,10,0,0,,0,,A,,,,,,,GD-CHHOTE LAL-11610,,,Setting,02:00:00,NEW SETTING
23-01-2025,RELP0001844,RELP0001844,SFGD24036ORM,10,OR FACE(F),10000,Machine Centre,HON-4,10,10,0,,0,,A,06:00:00,14:30:00,08:00:00,08:00:00,,,GD-GAURAV-13199,7.972222222,0.347222222,,,
22-01-2025,RELP0001844,RELP0001844,SFGD24036ORM,10,OR FACE(F),10000,Machine Centre,HON-4,10,15,0,,0,,B,21:00:00,23:00:00,02:00:00,02:00:00,,,GD-GAURAV-13199,1.958333333,2.083333333,,,
